Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ro_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,0000006f
1,1,0,0000007a
2,2,0,0000007a
3,3,0,00000072
4,4,0,00000072
5,5,0,00000071
6,6,0,00000071
7,7,0,00000073
8,8,0,00000073
9,9,0,00000079
10,10,0,00000079
11,11,0,00000074
12,12,0,00000074
13,13,0,00000074
14,14,0,00000074
15,15,0,00000072
16,16,0,00000072
17,17,0,00000075
18,18,0,00000075
19,19,0,00000075
20,20,0,00000075
21,21,0,00000073
22,22,0,00000073
23,23,0,00000073
24,24,0,00000073
25,25,0,00000075
26,26,0,00000075
27,27,0,00000078
28,28,0,00000078
29,29,0,00000073
30,30,0,00000073
31,31,0,00000077
32,32,0,00000077
33,33,0,00000075
34,34,0,00000075
35,35,0,00000075
36,36,0,00000075
37,37,0,00000075
38,38,0,00000075
39,39,0,00000071
40,40,0,00000071
41,41,0,00000076
42,42,0,00000076
43,43,0,00000071
44,44,0,00000071
45,45,0,00000076
46,46,0,00000076
47,47,0,00000074
48,48,0,00000074
49,49,0,00000074
50,50,0,00000074
51,51,0,00000074
52,52,0,00000074
53,53,0,00000076
54,54,0,00000076
55,55,0,00000074
56,56,0,00000074
57,57,0,00000078
58,58,0,00000078
59,59,0,00000072
60,60,0,00000072
61,61,0,0000007a
62,62,0,0000007a
63,63,0,00000074
64,64,0,00000074
65,65,0,00000073
66,66,0,00000073
67,67,0,00000074
68,68,0,00000074
69,69,0,00000073
70,70,0,00000073
71,71,0,00000074
72,72,0,00000074
73,73,0,00000076
74,74,0,00000076
75,75,0,00000077
76,76,0,00000077
77,77,0,00000074
78,78,0,00000074
79,79,0,00000073
80,80,0,00000073
81,81,0,00000076
82,82,0,00000076
83,83,0,00000072
84,84,0,00000072
85,85,0,00000077
86,86,0,00000077
87,87,0,00000070
88,88,0,00000070
89,89,0,00000078
90,90,0,00000078
91,91,0,00000071
92,92,0,00000071
93,93,0,00000075
94,94,0,00000075
95,95,0,00000074
96,96,0,00000074
97,97,0,00000077
98,98,0,00000077
99,99,0,00000072
100,100,0,00000072
101,101,0,00000076
102,102,0,00000076
103,103,0,00000076
104,104,0,00000076
105,105,0,00000074
106,106,0,00000074
107,107,0,00000074
108,108,0,00000074
109,109,0,00000073
110,110,0,00000073
111,111,0,00000077
112,112,0,00000077
113,113,0,00000071
114,114,0,00000071
115,115,0,00000075
116,116,0,00000075
117,117,0,00000075
118,118,0,00000075
119,119,0,00000072
120,120,0,00000072
121,121,0,00000076
122,122,0,00000076
123,123,0,00000074
124,124,0,00000074
125,125,0,00000074
126,126,0,00000074
127,127,0,00000074
128,128,0,00000074
129,129,0,00000078
130,130,0,00000078
131,131,0,00000072
132,132,0,00000072
133,133,0,00000075
134,134,0,00000075
135,135,0,00000073
136,136,0,00000073
137,137,0,00000075
138,138,0,00000075
139,139,0,00000075
140,140,0,00000075
141,141,0,00000073
142,142,0,00000073
143,143,0,00000077
144,144,0,00000077
145,145,0,00000076
146,146,0,00000076
147,147,0,0000006f
148,148,0,0000006f
149,149,0,00000074
150,150,0,00000074
151,151,0,00000077
152,152,0,00000077
153,153,0,00000075
154,154,0,00000075
155,155,0,00000074
156,156,0,00000074
157,157,0,00000077
158,158,0,00000077
159,159,0,00000071
160,160,0,00000071
161,161,0,00000076
162,162,0,00000076
163,163,0,00000077
164,164,0,00000077
165,165,0,00000074
166,166,0,00000074
167,167,0,00000072
168,168,0,00000072
169,169,0,00000075
170,170,0,00000075
171,171,0,00000074
172,172,0,00000074
173,173,0,00000074
174,174,0,00000074
175,175,0,00000074
176,176,0,00000074
177,177,0,00000073
178,178,0,00000073
179,179,0,00000079
180,180,0,00000079
181,181,0,00000070
182,182,0,00000070
183,183,0,00000076
184,184,0,00000076
185,185,0,00000076
186,186,0,00000076
187,187,0,00000073
188,188,0,00000073
189,189,0,00000073
190,190,0,00000073
191,191,0,00000076
192,192,0,00000076
193,193,0,00000074
194,194,0,00000074
195,195,0,00000075
196,196,0,00000075
197,197,0,00000074
198,198,0,00000074
199,199,0,00000074
200,200,0,00000074
201,201,0,00000073
202,202,0,00000073
203,203,0,00000078
204,204,0,00000078
205,205,0,00000071
206,206,0,00000071
207,207,0,00000076
208,208,0,00000076
209,209,0,00000076
210,210,0,00000076
211,211,0,00000072
212,212,0,00000072
213,213,0,00000074
214,214,0,00000074
215,215,0,00000076
216,216,0,00000076
217,217,0,00000075
218,218,0,00000075
219,219,0,00000077
