Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
0,0,1,0,00000000153
1,1,0,0,00000000153
2,2,0,0,00000000164
3,3,0,0,00000000203
4,4,0,0,00000000172
5,5,0,0,00000000201
6,6,0,0,00000000207
7,7,0,0,00000000146
8,8,0,0,00000000154
9,9,0,0,00000000154
10,10,0,0,00000000171
11,11,0,0,00000000175
12,12,0,0,00000000201
13,13,0,0,00000000207
14,14,0,0,00000000152
15,15,0,0,00000000156
16,16,0,0,00000000153
17,17,0,0,00000000174
18,18,0,0,00000000177
19,19,0,0,00000000201
20,20,0,0,00000000220
21,21,0,0,00000000151
22,22,0,0,00000000153
23,23,0,0,00000000162
24,24,0,0,00000000177
25,25,0,0,00000000173
26,26,0,0,00000000200
27,27,0,0,00000000206
28,28,0,0,00000000154
29,29,0,0,00000000153
30,30,0,0,00000000152
31,31,0,0,00000000166
32,32,0,0,00000000201
33,33,0,0,00000000200
34,34,0,0,00000000205
35,35,0,0,00000000151
36,36,0,0,00000000153
37,37,0,0,00000000154
38,38,0,0,00000000170
39,39,0,0,00000000173
40,40,0,0,00000000206
41,41,0,0,00000000215
42,42,0,0,00000000161
43,43,0,0,00000000152
44,44,0,0,00000000171
45,45,0,0,00000000204
46,46,0,0,00000000173
47,47,0,0,00000000205
48,48,0,0,00000000215
49,49,0,0,00000000152
50,50,0,0,00000000153
51,51,0,0,00000000160
52,52,0,0,00000000173
53,53,0,0,00000000174
54,54,0,0,00000000203
55,55,0,0,00000000211
56,56,0,0,00000000153
57,57,0,0,00000000154
58,58,0,0,00000000162
59,59,0,0,00000000174
60,60,0,0,00000000176
61,61,0,0,00000000203
62,62,0,0,00000000217
63,63,0,0,00000000161
64,64,0,0,00000000152
65,65,0,0,00000000156
66,66,0,0,00000000204
67,67,0,0,00000000174
68,68,0,0,00000000206
69,69,0,0,00000000217
70,70,0,0,00000000153
71,71,0,0,00000000154
72,72,0,0,00000000153
73,73,0,0,00000000172
74,74,0,0,00000000204
75,75,0,0,00000000176
76,76,0,0,00000000215
77,77,0,0,00000000153
78,78,0,0,00000000156
79,79,0,0,00000000160
80,80,0,0,00000000173
